Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Trey Burke,UTA,23,53,23.4,10.8,1.2,1.5,4.3,11.5,0.1,0.6,2.6,1.3,3.6,1.2,60.9,2.2,40.9,55.5,5.4,0.8,0.3,6.2,2.3,4.1,3.8,0,0,0.2
Trey Lyles,UTA,20,54,16.7,4.2,0.9,0.4,0.9,4.5,0.2,0.2,0.7,0.8,7.4,2.9,51,1.4,26.1,31.9,1.8,0.1,0.1,2,0.5,1.9,0.6,0.5,0.6,0.2
Tristan Thompson,CLE,24,55,28.3,5.3,2.8,0,0,7.8,0.5,0.3,0.7,0.7,18.9,6.3,51.9,4.1,29.5,37.3,1.5,0.2,0.1,1.8,0.2,0.1,0.1,3.7,3.8,0.7
Troy Daniels,CHA,24,27,10.6,4.3,0.3,1.3,2.6,5.4,0,0.2,0.4,0.6,2.5,0.6,47.1,0.2,8.3,13.6,0.7,0,0,0.9,0.1,4.3,0.7,0,0.1,0.5
Ty Lawson,HOU,28,50,23.2,5.6,1.6,0.6,1.9,6.1,0.1,0.8,3.6,1.6,3.3,1.1,66.7,1.6,35.7,45.6,7.7,0.8,0.4,8.6,1.5,1.5,1.7,0.2,0.2,0
Tyler Ennis,MIL,21,24,8.7,2.5,0.5,0.2,0.6,2.5,0,0.3,1,0.6,1.6,0.5,63.6,0.9,16.8,20.9,1.9,0.4,0.1,2.5,0.6,0.4,0.5,0,0.1,0
Tyler Hansbrough,CHA,30,31,9.1,1.9,1.5,0.1,0.1,2.5,0.2,0.4,0.2,0.4,5.2,1.8,49.1,1.5,5.2,8.6,0.5,0.1,0,0.5,0.1,0.2,0,0.6,0.7,0
Tyler Johnson,MIA,23,36,24,6.8,1.8,0.8,2,8.7,0.4,0.7,2.2,1.3,6.3,2,43.1,2.5,36.4,47.1,4.4,0.5,0.2,5.1,2.7,2.8,1.1,0.7,0.6,0.3
Tyler Zeller,BOS,26,40,10.4,4.5,1.4,0,0,5.4,0.2,0.2,0.4,0.9,6,2.9,51.3,2.4,12.1,18.4,1.1,0.3,0.1,1.1,0.2,0.9,0,1.7,1.7,0.5
Tyreke Evans,NOP,26,25,30.6,12.6,3.7,1.3,3.4,15.2,0.3,1.3,6.6,2.9,8.7,2,52.9,7.1,59.6,80.9,12.9,1.1,0.7,16,6.4,2,3.2,0.2,0.3,0.1
Tyson Chandler,PHX,33,46,23.1,4,2.5,0,0,5.8,0.6,0.5,0.9,1.2,14.5,5.3,53.7,3.4,31.4,38.2,2.4,0.3,0.1,2.2,0,0.1,0,3.1,3.1,0.2
Tyus Jones,MIN,19,12,11.6,3.8,0.7,0.3,0.7,3.7,0.1,0.4,1.8,0.8,2.3,0.4,40,1.4,20.6,27.2,3.8,0.5,0.1,4.3,0.8,0.5,1.2,0.2,0.2,0.2
Udonis Haslem,MIA,35,27,7.9,1.7,0.3,0,0.3,1.6,0.1,0.2,0.5,0.2,3.6,1.1,56.7,0.4,10.8,13.1,0.9,0.3,0,1.1,0.1,0.6,0,0.4,0.4,0.1
